단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
486630,KR7486630007,KB제30호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2040,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,2214,100,20240925,5310,531000000,12,,0,,N,N,0,0,1,0,0,20241231.0,108,,N,N,N
486990,KR7486990005,노타,ST,0.0,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,55400,1,1,N,N,N,1,Y,N,N,0,0,0,100,N,90,22522052,100,20251103,21161,2116188000,12,,0,,N,N,6,-83,-96,-96,-36100000,20250630.0,11723,,N,N,N
487360,KR7487360000,신한제14호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2050,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,4554,100,20241223,5640,564000000,12,,0,,N,N,0,0,0,0,0,20241231.0,115,,N,N,N
487720,KR7487720005,키움제10호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2080,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,16,100,20241220,4230,423000000,12,,0,,N,N,0,0,0,0,0,20241231.0,87,,N,N,N
487830,KR7487830002,신한제15호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2045,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,1729,100,20241115,4350,435000000,12,,0,,N,N,0,0,0,0,0,20241231.0,88,,N,N,N
488060,KR7488060005,유진스팩11호,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2035,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,6460,100,20241031,4720,472000000,12,,0,,N,N,0,0,0,0,0,20241231.0,96,,N,N,N
488280,KR7488280009,에스투더블유,ST,0.0,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,22550,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,525412,500,20250919,10587,5293978000,12,,0,,N,N,41,-30,-29,-29,-124,20250630.0,2387,,N,N,N
489210,KR7489210005,교보17호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2090,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,324,100,20241121,5180,518000000,12,,0,,N,N,0,0,0,0,0,20241231.0,108,,N,N,N
489460,KR7489460006,바이오비쥬,ST,2.0,1009,1023,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,13460,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,98991,500,20250520,15044,7522215000,12,,0,,N,N,178,45,39,31,13,20250630.0,2024,,N,N,N
489480,KR7489480004,키움제11호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2045,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,107,100,20241211,6600,660000000,12,,0,,N,N,0,0,0,0,0,20241231.0,134,,N,N,N
489500,KR7489500009,엘케이켐,ST,3.0,1009,1023,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,18950,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,53500,100,20250225,6278,627805600,12,,0,,N,N,91,22,17,15,7,20250630.0,1189,,N,N,N
489730,KR7489730002,디비금융제13호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2030,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,2676,100,20241128,6332,633200000,12,,0,,N,N,0,0,0,0,0,20241231.0,128,,N,N,N
492220,KR7492220009,KB제31호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2005,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,933,100,20241212,6210,621000000,12,,0,,N,N,0,0,0,0,0,20241231.0,124,,N,N,N
493790,KR7493790000,유안타제17호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2000,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,5866,100,20250123,5310,531000000,12,,0,,N,N,0,0,0,0,0,20241231.0,106,,N,N,N
496070,KR7496070004,신한제16호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2000,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,2306,100,20250529,5620,562000000,12,,0,,N,N,0,0,0,0,0,20241231.0,112,,N,N,N
